level,source_id,route_family,predicate_label,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH6_sign_flip_only_control,10,416,416,1287,27,0.02097902097902098,1462,3.514423076923077,1462,1460,0.9986320109439124
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH6_sign_flip_only_control,20,416,416,1287,59,0.04584304584304584,2802,6.735576923076923,2802,2776,0.9907209136331192
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH6_sign_flip_only_control,50,416,416,1287,159,0.12354312354312354,6710,16.129807692307693,6710,6381,0.9509687034277198
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH6_sign_flip_only_control,100,416,416,1287,336,0.26107226107226106,12756,30.66346153846154,12756,11033,0.8649263091878332
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH0_source_score,5,316,316,754,4,0.005305039787798408,128,0.4050632911392405,128,67,0.5234375
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH0_source_score,10,316,316,754,8,0.010610079575596816,503,1.5917721518987342,503,263,0.5228628230616302
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH0_source_score,20,316,316,754,44,0.058355437665782495,1729,5.4715189873417724,1729,892,0.5159051474840949
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH0_source_score,50,316,316,754,128,0.16976127320954906,5664,17.924050632911392,5664,2915,0.5146539548022598
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH0_source_score,100,316,316,754,251,0.3328912466843501,11662,36.90506329113924,11662,6065,0.5200651689247128
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH1_source_x_frame_score,5,316,316,754,8,0.010610079575596816,403,1.2753164556962024,403,0,0.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH1_source_x_frame_score,10,316,316,754,22,0.029177718832891247,1109,3.509493670886076,1109,2,0.0018034265103697023
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH1_source_x_frame_score,20,316,316,754,40,0.05305039787798409,2419,7.655063291139241,2419,30,0.012401818933443571
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH1_source_x_frame_score,50,316,316,754,109,0.14456233421750664,6604,20.89873417721519,6604,342,0.05178679588128407
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH1_source_x_frame_score,100,316,316,754,208,0.27586206896551724,12796,40.49367088607595,12796,1712,0.13379180994060644
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH2_frame_score_only,5,316,316,754,3,0.003978779840848806,549,1.7373417721518987,549,0,0.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH2_frame_score_only,10,316,316,754,16,0.021220159151193633,1281,4.05379746835443,1281,2,0.00156128024980484
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH2_frame_score_only,20,316,316,754,36,0.04774535809018567,2672,8.455696202531646,2672,30,0.01122754491017964
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH2_frame_score_only,50,316,316,754,109,0.14456233421750664,6752,21.367088607594937,6752,342,0.050651658767772514
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH2_frame_score_only,100,316,316,754,209,0.27718832891246686,12826,40.58860759493671,12826,1719,0.13402463745516918
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH3_source_x_axis_swap_control,5,316,316,754,11,0.014588859416445624,448,1.4177215189873418,448,383,0.8549107142857143
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH3_source_x_axis_swap_control,10,316,316,754,41,0.054376657824933686,1205,3.8132911392405062,1205,982,0.8149377593360996
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH3_source_x_axis_swap_control,20,316,316,754,105,0.13925729442970822,2508,7.936708860759493,2508,1997,0.7962519936204147
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH3_source_x_axis_swap_control,50,316,316,754,281,0.3726790450928382,6640,21.0126582278481,6640,5077,0.7646084337349398
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH3_source_x_axis_swap_control,100,316,316,754,436,0.5782493368700266,12707,40.212025316455694,12707,8632,0.6793106161957976
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH4_source_x_sign_flip_control,5,316,316,754,17,0.022546419098143235,472,1.4936708860759493,472,472,1.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH4_source_x_sign_flip_control,10,316,316,754,47,0.0623342175066313,1161,3.6740506329113924,1161,1159,0.9982773471145564
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH4_source_x_sign_flip_control,20,316,316,754,121,0.16047745358090185,2468,7.810126582278481,2468,2438,0.9878444084278768
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH4_source_x_sign_flip_control,50,316,316,754,378,0.5013262599469496,6788,21.481012658227847,6788,6447,0.9497642899233942
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH4_source_x_sign_flip_control,100,316,316,754,556,0.7374005305039788,12811,40.54113924050633,12811,11105,0.8668331902271486
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH5_axis_swap_only_control,5,316,316,754,16,0.021220159151193633,625,1.9778481012658229,625,538,0.8608
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH5_axis_swap_only_control,10,316,316,754,49,0.0649867374005305,1456,4.6075949367088604,1456,1241,0.8523351648351648
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH5_axis_swap_only_control,20,316,316,754,110,0.14588859416445624,2795,8.844936708860759,2795,2316,0.8286225402504472
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH5_axis_swap_only_control,50,316,316,754,283,0.3753315649867374,6710,21.234177215189874,6710,5212,0.7767511177347243
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH5_axis_swap_only_control,100,316,316,754,439,0.5822281167108754,12757,40.370253164556964,12757,8659,0.6787645998275457
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH6_sign_flip_only_control,5,316,316,754,28,0.03713527851458886,558,1.7658227848101267,558,558,1.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH6_sign_flip_only_control,10,316,316,754,70,0.09283819628647215,1270,4.018987341772152,1270,1268,0.9984251968503937
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH6_sign_flip_only_control,20,316,316,754,140,0.1856763925729443,2667,8.439873417721518,2667,2637,0.9887514060742407
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH6_sign_flip_only_control,50,316,316,754,357,0.473474801061008,6752,21.367088607594937,6752,6410,0.9493483412322274
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,RH6_sign_flip_only_control,100,316,316,754,556,0.7374005305039788,12825,40.585443037974684,12825,11107,0.8660428849902534
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH0_source_score,5,316,316,754,17,0.022546419098143235,2607,8.25,2607,1274,0.4886843114691216
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH0_source_score,10,316,316,754,79,0.10477453580901856,4912,15.544303797468354,4912,2363,0.4810667752442997
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH0_source_score,20,316,316,754,216,0.2864721485411141,8776,27.772151898734176,8776,4201,0.4786918869644485
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH0_source_score,50,316,316,754,464,0.6153846153846154,17389,55.028481012658226,17389,8437,0.4851917879118983
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH0_source_score,100,316,316,754,685,0.9084880636604774,23287,73.69303797468355,23287,11483,0.49310774251728434
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH1_source_x_frame_score,5,316,316,754,34,0.04509283819628647,2179,6.8955696202531644,2179,0,0.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH1_source_x_frame_score,10,316,316,754,58,0.07692307692307693,3728,11.79746835443038,3728,2,0.000536480686695279
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH1_source_x_frame_score,20,316,316,754,100,0.13262599469496023,5938,18.79113924050633,5938,32,0.005389019872010778
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH1_source_x_frame_score,50,316,316,754,141,0.1870026525198939,8979,28.414556962025316,8979,355,0.039536696736830385
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH1_source_x_frame_score,100,316,316,754,215,0.28514588859416445,13454,42.575949367088604,13454,1767,0.1313364055299539
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH2_frame_score_only,5,316,316,754,7,0.009283819628647215,775,2.4525316455696204,775,0,0.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH2_frame_score_only,10,316,316,754,16,0.021220159151193633,1299,4.110759493670886,1299,2,0.001539645881447267
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH2_frame_score_only,20,316,316,754,36,0.04774535809018567,2677,8.471518987341772,2677,30,0.011206574523720583
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH2_frame_score_only,50,316,316,754,109,0.14456233421750664,6752,21.367088607594937,6752,342,0.050651658767772514
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH2_frame_score_only,100,316,316,754,209,0.27718832891246686,12826,40.58860759493671,12826,1719,0.13402463745516918
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH3_source_x_axis_swap_control,5,316,316,754,78,0.10344827586206896,2130,6.7405063291139244,2130,1750,0.8215962441314554
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH3_source_x_axis_swap_control,10,316,316,754,150,0.1989389920424403,3642,11.525316455696203,3642,2949,0.8097199341021417
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH3_source_x_axis_swap_control,20,316,316,754,246,0.32625994694960214,5878,18.60126582278481,5878,4642,0.7897243960530793
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH3_source_x_axis_swap_control,50,316,316,754,364,0.4827586206896552,8875,28.085443037974684,8875,6658,0.7501971830985915
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH3_source_x_axis_swap_control,100,316,316,754,454,0.6021220159151194,13348,42.24050632911393,13348,9006,0.6747078213964639
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH4_source_x_sign_flip_control,5,316,316,754,95,0.1259946949602122,2098,6.639240506329114,2098,2098,1.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH4_source_x_sign_flip_control,10,316,316,754,207,0.27453580901856767,3652,11.556962025316455,3652,3650,0.9994523548740416
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH4_source_x_sign_flip_control,20,316,316,754,333,0.4416445623342175,5778,18.28481012658228,5778,5747,0.9946348217376255
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH4_source_x_sign_flip_control,50,316,316,754,474,0.6286472148541115,8751,27.693037974683545,8751,8393,0.959090389669752
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH4_source_x_sign_flip_control,100,316,316,754,568,0.753315649867374,13447,42.55379746835443,13447,11669,0.8677771993753254
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH5_axis_swap_only_control,5,316,316,754,19,0.025198938992042442,858,2.7151898734177213,858,741,0.8636363636363636
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH5_axis_swap_only_control,10,316,316,754,49,0.0649867374005305,1487,4.705696202531645,1487,1272,0.855413584398117
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH5_axis_swap_only_control,20,316,316,754,110,0.14588859416445624,2807,8.882911392405063,2807,2328,0.8293551834698967
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH5_axis_swap_only_control,50,316,316,754,283,0.3753315649867374,6710,21.234177215189874,6710,5212,0.7767511177347243
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH5_axis_swap_only_control,100,316,316,754,439,0.5822281167108754,12759,40.37658227848101,12759,8659,0.6786582020534525
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH6_sign_flip_only_control,5,316,316,754,41,0.054376657824933686,768,2.430379746835443,768,768,1.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH6_sign_flip_only_control,10,316,316,754,70,0.09283819628647215,1304,4.1265822784810124,1304,1302,0.9984662576687117
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH6_sign_flip_only_control,20,316,316,754,140,0.1856763925729443,2678,8.474683544303797,2678,2648,0.9887976101568334
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,behind,RH6_sign_flip_only_control,50,316,316,754,357,0.473474801061008,6752,21.367088607594937,6752,6410,0.9493483412322274
