level,source_id,route_family,score_id,K,primary_success_family,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S0_source_score,50,True,548,30,98,54,0.5510204081632653,25582,46.68248175182482,25582,12284,0.48018137753107654
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S0_source_score,100,True,548,30,98,98,1.0,44280,80.8029197080292,44280,22816,0.5152664859981934
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_current_source_x_Ce,5,True,548,30,98,1,0.01020408163265306,2738,4.9963503649635035,2738,4,0.0014609203798392988
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_current_source_x_Ce,10,True,548,30,98,14,0.14285714285714285,5468,9.978102189781023,5468,62,0.011338697878566204
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_current_source_x_Ce,20,True,548,30,98,46,0.46938775510204084,10824,19.751824817518248,10824,354,0.03270509977827051
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_current_source_x_Ce,50,True,548,30,98,93,0.9489795918367347,25582,46.68248175182482,25582,3560,0.1391603471190681
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_current_source_x_Ce,100,True,548,30,98,98,1.0,44280,80.8029197080292,44280,17184,0.3880758807588076
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I1_hardneg_structured_source_x_Ce,5,False,548,497,1521,46,0.030243261012491782,2740,5.0,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I1_hardneg_structured_source_x_Ce,10,False,548,497,1521,123,0.08086785009861933,5472,9.985401459854014,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I1_hardneg_structured_source_x_Ce,20,False,548,497,1521,305,0.20052596975673898,10906,19.901459854014597,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I1_hardneg_structured_source_x_Ce,50,False,548,497,1521,944,0.6206443129520053,26518,48.39051094890511,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I1_hardneg_structured_source_x_Ce,100,False,548,497,1521,1402,0.9217619986850756,49078,89.55839416058394,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I2_route_aware_source_x_Ce,5,False,548,497,1521,19,0.012491781722550954,2740,5.0,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I2_route_aware_source_x_Ce,10,False,548,497,1521,56,0.036817882971729124,5472,9.985401459854014,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I2_route_aware_source_x_Ce,20,False,548,497,1521,174,0.11439842209072978,10906,19.901459854014597,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I2_route_aware_source_x_Ce,50,False,548,497,1521,780,0.5128205128205128,26518,48.39051094890511,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I2_route_aware_source_x_Ce,100,False,548,497,1521,1429,0.9395134779750164,49078,89.55839416058394,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I4_calibrated_route_aware_source_x_Ce,5,False,548,497,1521,33,0.021696252465483234,2740,5.0,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I4_calibrated_route_aware_source_x_Ce,10,False,548,497,1521,55,0.03616042077580539,5472,9.985401459854014,0,0,
