level,route_family,predicate_label,view_id,rows,positive,negative,auroc,auprc,balanced_accuracy,macro_F1,Brier,NLL,tp,fp,tn,fn
predicate,relative_horizontal,right,C1_wrong_T_within_route,4691,1713,2978,0.231183181431294,0.24454127627571354,0.26075909069702435,0.2546915906171607,0.5444552439231042,2.0280200955287597,470,2242,736,1243
predicate,size_relative,smaller than,C1_wrong_T_within_route,170,85,85,0.0004152249134948097,0.30979174746049243,0.011764705882352941,0.01176470588235294,0.6073345840257995,1.65312824868273,1,84,1,84
predicate,support_contact,standing on,C1_wrong_T_within_route,1589,1357,232,0.5220821792493584,0.8678719839935118,0.5313238507864712,0.3922865027546419,0.295189717541371,0.796024920329723,512,73,159,845
predicate,relative_horizontal,behind,C2_wrong_T_across_route,4691,1024,3667,0.6428324520214072,0.2854119509543348,0.6280348803517862,0.5481556681595524,0.2760557447573656,0.8232950875468897,728,1668,1999,296
predicate,size_relative,bigger than,C2_wrong_T_across_route,170,85,85,0.0004152249134948097,0.30979174746049243,0.03529411764705882,0.03409090909090909,0.44184122420289657,1.1204782788770964,6,85,0,79
predicate,relative_horizontal,front,C2_wrong_T_across_route,4691,1024,3667,0.6428329846434415,0.2854119692966125,0.6169668613222661,0.5674115643884317,0.25161498003604615,0.7568224615478177,621,1366,2301,403
predicate,relative_vertical,higher than,C2_wrong_T_across_route,390,195,195,0.99534516765286,0.9952307212946746,0.9871794871794872,0.9871787285243703,0.1108705476592841,0.37528290423508365,194,4,191,1
predicate,relative_horizontal,left,C2_wrong_T_across_route,4691,1713,2978,0.2640849004785826,0.25312577190281227,0.29792667144190693,0.2872976547442516,0.4183838401217651,1.184876532673966,568,2191,787,1145
predicate,relative_vertical,lower than,C2_wrong_T_across_route,390,195,195,0.994792899408284,0.9948148144791901,0.9717948717948719,0.9717902350813743,0.11128937347143938,0.3761177302965844,187,3,192,8
predicate,support_contact,lying on,C2_wrong_T_across_route,1589,232,1357,0.6479588595532743,0.19906630002448056,0.5155880746067644,0.511823152217241,0.21546065951679744,0.6223428764949395,51,256,1101,181
predicate,relative_horizontal,right,C2_wrong_T_across_route,4691,1713,2978,0.26408470445065724,0.25312579974705546,0.3100951049082648,0.3137132418894392,0.3979903597596972,1.131660717012188,375,1783,1195,1338
predicate,size_relative,smaller than,C2_wrong_T_across_route,170,85,85,0.0004152249134948097,0.30979174746049243,0.058823529411764705,0.05555555555555555,0.4418485484806165,1.1241822347556107,0,75,10,85
predicate,support_contact,standing on,C2_wrong_T_across_route,1589,1357,232,0.7394893654867482,0.950424796761287,0.5647329936726553,0.5510574749757831,0.2251689533128421,0.6432275127825701,1094,157,75,263
predicate,relative_horizontal,behind,C3_shuffled_G_global,4691,1024,3667,0.4844863180051813,0.2090822750406982,0.4840674107751568,0.4551770225765809,0.35829608071659297,1.2929567501662127,446,1714,1953,578
predicate,size_relative,bigger than,C3_shuffled_G_global,170,85,85,0.4903806228373702,0.5085446520172947,0.48823529411764705,0.486796904819737,0.301566705153618,0.8382996808230766,46,48,37,39
predicate,relative_horizontal,front,C3_shuffled_G_global,4691,1024,3667,0.4916467554796155,0.21642035722551528,0.5006282276895282,0.45028321106728664,0.3578446002629088,1.2972766447919066,538,1922,1745,486
predicate,relative_vertical,higher than,C3_shuffled_G_global,390,195,195,0.4843129520052597,0.5046675064582071,0.48205128205128206,0.47597381864623245,0.31109771269435915,0.8740383370257818,115,122,73,80
predicate,relative_horizontal,left,C3_shuffled_G_global,4691,1713,2978,0.500715991997356,0.366829956899343,0.5003759815608293,0.4818341555621881,0.35897966029217854,1.2865699784919369,955,1658,1320,758
predicate,relative_vertical,lower than,C3_shuffled_G_global,390,195,195,0.5478369493754109,0.5584798091356815,0.5282051282051282,0.5231893687707642,0.29261771296979305,0.8537779842002748,83,72,123,112
predicate,support_contact,lying on,C3_shuffled_G_global,1589,232,1357,0.5085142809950957,0.14649937594380127,0.5063162274794806,0.4218865840910007,0.30815625525378554,0.8850160278666208,125,714,643,107
predicate,relative_horizontal,right,C3_shuffled_G_global,4691,1713,2978,0.48697178805303887,0.3624082440618093,0.4898600635052067,0.48746916619724034,0.35364147845899824,1.2780952744733003,728,1326,1652,985
predicate,size_relative,smaller than,C3_shuffled_G_global,170,85,85,0.5142560553633218,0.55385377553138,0.5,0.49859467712273153,0.29481354345838207,0.8458837474947031,38,38,47,47
predicate,support_contact,standing on,C3_shuffled_G_global,1589,1357,232,0.4881187584174015,0.8467503128679265,0.48048909867100353,0.4007708460932715,0.32472929599735884,0.9383952061573814,608,113,119,749
predicate,relative_horizontal,behind,C4_shuffled_G_within_family,4691,1024,3667,0.5044367415462231,0.2217111077152293,0.5081404620176575,0.4607054170882001,0.37272904135860435,1.382866319600052,533,1849,1818,491
predicate,size_relative,bigger than,C4_shuffled_G_within_family,170,85,85,0.4688581314878893,0.495239108989767,0.4764705882352941,0.4749991325167424,0.34995909893356614,0.9970401483717286,45,49,36,40
predicate,relative_horizontal,front,C4_shuffled_G_within_family,4691,1024,3667,0.5143987709213935,0.23058992181658988,0.5058649675313608,0.4653969088914853,0.3640718031404234,1.3274194940794044,506,1769,1898,518
predicate,relative_vertical,higher than,C4_shuffled_G_within_family,390,195,195,0.48849441157133466,0.4946362968367624,0.5,0.4992592592592593,0.3645462442024693,1.3433145735675103,105,105,90,90
predicate,relative_horizontal,left,C4_shuffled_G_within_family,4691,1713,2978,0.4968629651105578,0.36069163823926775,0.5011301990036292,0.48496734110636264,0.3853519051466243,1.457348511613994,934,1617,1361,779
predicate,relative_vertical,lower than,C4_shuffled_G_within_family,390,195,195,0.5015910585141354,0.5337392249780589,0.5076923076923077,0.5070570886875921,0.3688752208365052,1.4075826002965186,92,89,106,103
predicate,support_contact,lying on,C4_shuffled_G_within_family,1589,232,1357,0.49465415597286105,0.14550274571122876,0.4868148552842223,0.43844406044269923,0.2410673777503139,0.6744648300939186,98,609,748,134
predicate,relative_horizontal,right,C4_shuffled_G_within_family,4691,1713,2978,0.5063664969456889,0.36940550746542017,0.5080447900286083,0.504016152412917,0.3616053934449871,1.3379273260644442,788,1322,1656,925
predicate,size_relative,smaller than,C4_shuffled_G_within_family,170,85,85,0.5432525951557093,0.5477852823577299,0.5235294117647058,0.5221902217287206,0.3149707148949426,0.9076295150332231,49,45,40,36
predicate,support_contact,standing on,C4_shuffled_G_within_family,1589,1357,232,0.5121814092953523,0.8538913811089482,0.508012413284883,0.43015612253483926,0.24984450886987455,0.6932849183352625,671,111,121,686
predicate,relative_horizontal,behind,C5_subject_object_swap,4691,1024,3667,0.3304235303892828,0.16391168086177288,0.33269596229888193,0.32102369490780913,0.46586870974183403,1.6777116017978917,296,2287,1380,728
predicate,size_relative,bigger than,C5_subject_object_swap,170,85,85,0.0004152249134948097,0.30979174746049243,0.011764705882352941,0.01176470588235294,0.6073345840257995,1.6531282486827306,1,84,1,84
predicate,relative_horizontal,front,C5_subject_object_swap,4691,1024,3667,0.33041367688164713,0.16390939364648066,0.3289906439613444,0.3248739171790116,0.45586771325097325,1.6362179936115324,263,2196,1471,761
predicate,relative_vertical,higher than,C5_subject_object_swap,390,195,195,0.04310322156476003,0.3111791730034187,0.15128205128205127,0.1327569179918173,0.434538742474951,1.2406810944441808,58,194,1,137
predicate,relative_horizontal,left,C5_subject_object_swap,4691,1713,2978,0.231183181431294,0.24454127627571354,0.26075909069702435,0.2546915906171607,0.5444552439231043,2.02802009552876,470,2242,736,1243
predicate,relative_vertical,lower than,C5_subject_object_swap,390,195,195,0.03789612097304405,0.3122571820962359,0.17435897435897435,0.15001624431448993,0.45139225498289565,1.315565967010402,1,128,67,194
predicate,support_contact,lying on,C5_subject_object_swap,1589,232,1357,0.26143178410794604,0.09331780947224996,0.4177619876502427,0.20387029417134916,0.3566138531380906,0.9231325958601712,167,1200,157,65
predicate,relative_horizontal,right,C5_subject_object_swap,4691,1713,2978,0.2311727919512502,0.24453895395034947,0.2693862796918598,0.27314827360268923,0.523690811445984,1.9482908780624115,350,1982,996,1363
predicate,size_relative,smaller than,C5_subject_object_swap,170,85,85,0.0004152249134948097,0.30979174746049243,0.011764705882352941,0.01176470588235294,0.6073374895289195,1.6530517949194912,1,84,1,84
