source,condition,k,selected,satisfied,uncertain,violated,other_or_missing,violation_all,violation_all_ci95_low,violation_all_ci95_high,violation_decidable,violation_decidable_ci95_low,violation_decidable_ci95_high,uncertainty_rate,uncertainty_rate_ci95_low,uncertainty_rate_ci95_high,decidable_coverage,decidable_coverage_ci95_low,decidable_coverage_ci95_high,pessimistic_violation,pessimistic_violation_ci95_low,pessimistic_violation_ci95_high,status_coverage,status_coverage_ci95_low,status_coverage_ci95_high
vlsat_closed_set,rank_average_fusion,50,27400,21848,5008,544,0,0.019854014598540148,0.017518248175182483,0.022116788321167882,0.024294390853876385,0.021492752470417372,0.027029558881803417,0.18277372262773722,0.1753640510948905,0.19094890510948906,0.8172262773722627,0.809051094890511,0.8246359489051095,0.20262773722627736,0.19467153284671532,0.21124178832116788,1.0,1.0,1.0
vlsat_closed_set,rank_average_fusion,100,54800,39221,14161,1418,0,0.025875912408759125,0.023740875912408758,0.028083941605839415,0.034892590860995595,0.031964212134139934,0.037936965772753566,0.2584124087591241,0.2515871350364964,0.2654233576642336,0.7415875912408759,0.7345766423357664,0.7484128649635037,0.2842883211678832,0.2769703467153285,0.29182527372262773,1.0,1.0,1.0
vlsat_closed_set,reciprocal_rank_fusion,5,2740,2446,274,20,0,0.0072992700729927005,0.0040145985401459855,0.011313868613138687,0.008110300081103,0.004424291450625706,0.012531459019646104,0.1,0.08576642335766424,0.1145985401459854,0.9,0.8854014598540146,0.9142335766423357,0.1072992700729927,0.0927007299270073,0.12226277372262774,1.0,1.0,1.0
vlsat_closed_set,reciprocal_rank_fusion,10,5480,4799,629,52,0,0.00948905109489051,0.006386861313868613,0.012956204379562044,0.010719439290867862,0.007225098532699516,0.01457592368865149,0.11478102189781023,0.10401003649635036,0.1259124087591241,0.8852189781021897,0.8740875912408759,0.8959899635036497,0.12427007299270074,0.11349908759124087,0.13686587591240876,1.0,1.0,1.0
vlsat_closed_set,reciprocal_rank_fusion,20,10960,9386,1438,136,0,0.012408759124087591,0.010034215328467154,0.015237226277372264,0.014282713715605966,0.011427235852748251,0.017505976295568427,0.13120437956204378,0.12262545620437956,0.1406934306569343,0.8687956204379562,0.8593065693430657,0.8773745437956204,0.14361313868613138,0.13457801094890512,0.15356067518248176,1.0,1.0,1.0
vlsat_closed_set,reciprocal_rank_fusion,50,27400,22177,4777,446,0,0.01627737226277372,0.014233576642335766,0.018322992700729925,0.019714449896123414,0.017261544341309394,0.02220592690629075,0.17434306569343067,0.16780930656934306,0.1813567518248175,0.8256569343065694,0.8186432481751825,0.8321906934306569,0.19062043795620437,0.18375547445255475,0.19799543795620436,1.0,1.0,1.0
vlsat_closed_set,reciprocal_rank_fusion,100,54800,40618,12807,1375,0,0.02509124087591241,0.02293795620437956,0.027354014598540147,0.03274355249684471,0.029922530365386092,0.03583355392993962,0.2337043795620438,0.22786496350364963,0.23998220802919706,0.7662956204379562,0.7600177919708029,0.7721350364963504,0.25879562043795623,0.2522992700729927,0.26594981751824814,1.0,1.0,1.0
open3dsg_ov_recovery,semantic_only,5,2740,560,774,1406,0,0.5131386861313869,0.48905109489051096,0.5364963503649635,0.7151576805696847,0.6898093988565352,0.7410094813264342,0.2824817518248175,0.26130474452554747,0.3025547445255474,0.7175182481751825,0.6974452554744526,0.7386952554744526,0.7956204379562044,0.775912408759124,0.814963503649635,1.0,1.0,1.0
open3dsg_ov_recovery,semantic_only,10,5480,2038,1658,1784,0,0.32554744525547447,0.31039689781021895,0.34233576642335767,0.4667713239141811,0.4477686380503378,0.4884662141799972,0.3025547445255474,0.28558394160583944,0.31952554744525546,0.6974452554744526,0.6804744525547445,0.7144160583941606,0.628102189781022,0.6125821167883212,0.6450729927007299,1.0,1.0,1.0
open3dsg_ov_recovery,semantic_only,20,10944,5284,3375,2285,0,0.20879020467836257,0.19956048107650254,0.21888744032966856,0.30188928524243624,0.2887910277902656,0.31549851410137675,0.30838815789473684,0.2951812454346238,0.3220174574504266,0.6916118421052632,0.6779825425495735,0.7048187545653762,0.5171783625730995,0.5041038522886364,0.5305201730375207,1.0,1.0,1.0
open3dsg_ov_recovery,semantic_only,50,27142,12820,10559,3763,0,0.1386412202490605,0.133400415291624,0.14468804568468493,0.22691913405294578,0.21736976022591925,0.23681290117471268,0.38902807457077593,0.37881239393738214,0.3990604405855174,0.6109719254292241,0.6009395594144826,0.6211876060626178,0.5276692948198364,0.5169058484366765,0.5387488006221913,1.0,1.0,1.0
open3dsg_ov_recovery,semantic_only,100,53036,24365,22084,6587,0,0.12419865751564975,0.11985085201998516,0.12848270156308816,0.2128133884724735,0.20608962729172037,0.22002368395047853,0.4163964099856701,0.40741295451826576,0.42533611907953617,0.5836035900143299,0.5746638809204638,0.5925870454817344,0.5405950675013198,0.5319589551698539,0.5493403313087549,1.0,1.0,1.0
open3dsg_ov_recovery,family_conditional_risk,5,2740,2073,552,115,0,0.041970802919708027,0.032837591240875916,0.051824817518248176,0.052559414990859234,0.041055126666733055,0.06511985987727813,0.20145985401459854,0.18174270072992701,0.22153284671532847,0.7985401459854015,0.7784671532846715,0.818257299270073,0.24343065693430657,0.22116788321167882,0.2675182481751825,1.0,1.0,1.0
open3dsg_ov_recovery,family_conditional_risk,10,5480,4181,1035,264,0,0.04817518248175182,0.040145985401459854,0.05620437956204379,0.059392575928009,0.04930803024303788,0.06939354306420839,0.18886861313868614,0.17425638686131387,0.20383211678832117,0.8111313868613139,0.7961678832116789,0.8257436131386862,0.23704379562043795,0.21806569343065693,0.25583941605839416,1.0,1.0,1.0
open3dsg_ov_recovery,family_conditional_risk,20,10944,8285,2176,483,0,0.04413377192982456,0.03849372024153287,0.049526666570342395,0.055086678832116785,0.04796860975668445,0.06210777632516953,0.19883040935672514,0.18777411280253553,0.2096167883211679,0.8011695906432749,0.7903832116788321,0.8122258871974645,0.2429641812865497,0.22959141654465592,0.25539366746192405,1.0,1.0,1.0
open3dsg_ov_recovery,family_conditional_risk,50,27142,20777,5588,777,0,0.028627219806941273,0.02560590820652182,0.031531225124330514,0.0360489932263153,0.032134220340223243,0.039667366088083605,0.20588018569007444,0.1972296346001891,0.2141027751783809,0.7941198143099256,0.7858972248216191,0.8027703653998108,0.2345074054970157,0.22549647680801793,0.24275508600158907,1.0,1.0,1.0
open3dsg_ov_recovery,family_conditional_risk,100,53036,37764,13465,1807,0,0.03407119692284486,0.03090844363585258,0.03733405775883785,0.045664754491925905,0.04124378617725076,0.05016784407455253,0.2538841541594389,0.24593533906203605,0.2622710018293526,0.7461158458405611,0.7377289981706474,0.754064660937964,0.2879553510822837,0.2784876770352359,0.2973276298223333,1.0,1.0,1.0
open3dsg_ov_recovery,pooled_calibration,5,2740,1815,753,172,0,0.06277372262773723,0.051824817518248176,0.07446167883211678,0.08656265727226975,0.07138411996902562,0.10396376784463775,0.2748175182481752,0.2507299270072993,0.29781021897810217,0.7251824817518249,0.7021897810218978,0.7492700729927008,0.3375912408759124,0.310948905109489,0.364242700729927,1.0,1.0,1.0
open3dsg_ov_recovery,pooled_calibration,10,5480,3638,1459,383,0,0.06989051094890511,0.06076186131386861,0.0786587591240876,0.09524993782641133,0.08256399803963779,0.10848592209187301,0.26624087591240875,0.24853102189781023,0.2821213503649635,0.7337591240875913,0.7178786496350364,0.7514689781021898,0.3361313868613139,0.3164233576642336,0.355661496350365,1.0,1.0,1.0
open3dsg_ov_recovery,pooled_calibration,20,10944,7301,2927,716,0,0.06542397660818713,0.059571340962215204,0.07169245774951699,0.08931021579144319,0.08085887178001043,0.09785332425850908,0.26745248538011696,0.2541980136906515,0.28104510659421045,0.732547514619883,0.7189548934057896,0.7458019863093486,0.3328764619883041,0.3187023219735775,0.3465917397660819,1.0,1.0,1.0
open3dsg_ov_recovery,pooled_calibration,50,27142,18197,7299,1646,0,0.06064402033748434,0.056487449178234,0.06444231616428918,0.0829511666582674,0.07775444554600715,0.08807883481254536,0.2689190184953209,0.2596717480345697,0.2779432205494486,0.7310809815046792,0.7220567794505515,0.7403282519654303,0.32956303883280524,0.320041710082082,0.33887543402907866,1.0,1.0,1.0
open3dsg_ov_recovery,pooled_calibration,100,53036,33285,15448,4303,0,0.08113356965080323,0.07715475622784729,0.08529309841999438,0.11447802490156433,0.10922013911318763,0.11988587418838781,0.29127385172335774,0.2835659809296544,0.2988913266395448,0.7087261482766423,0.7011086733604551,0.7164340190703455,0.37240742137416094,0.3650017201165224,0.3800565921669552,1.0,1.0,1.0
open3dsg_ov_recovery,geometry_only_family,5,2740,2340,388,12,0,0.004379562043795621,0.00145985401459854,0.008029197080291971,0.00510204081632653,0.0017042489733385309,0.009425979326462722,0.1416058394160584,0.1233485401459854,0.1620529197080292,0.8583941605839416,0.8379470802919708,0.8766514598540146,0.145985401459854,0.12772810218978103,0.16679744525547446,1.0,1.0,1.0
