source_id,subroute,K,comparison,RH1_Recall@K,baseline_Recall@K,delta_Recall@K,RH1_Violation@K,baseline_Violation@K,delta_Violation@K,recall_improved,violation_improved,recall_loss_abs,violation_reduction_abs
vlsat_full_validation,depth_front_behind,5,RH1_source_x_frame_score_minus_RH0_source_score,0.29638671875,0.427734375,-0.13134765625,0.42700729927007297,0.7175182481751825,-0.29051094890510953,False,True,0.13134765625,0.29051094890510953
vlsat_full_validation,depth_front_behind,5,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.29638671875,0.34228515625,-0.0458984375,0.42700729927007297,0.7781021897810219,-0.3510948905109489,False,True,0.0458984375,0.3510948905109489
vlsat_full_validation,depth_front_behind,5,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.29638671875,0.384765625,-0.08837890625,0.42700729927007297,0.8740875912408759,-0.4470802919708029,False,True,0.08837890625,0.4470802919708029
vlsat_full_validation,depth_front_behind,10,RH1_source_x_frame_score_minus_RH0_source_score,0.47802734375,0.6552734375,-0.17724609375,0.4215328467153285,0.7021897810218978,-0.2806569343065693,False,True,0.17724609375,0.2806569343065693
vlsat_full_validation,depth_front_behind,10,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.47802734375,0.5390625,-0.06103515625,0.4215328467153285,0.7735401459854014,-0.35200729927007296,False,True,0.06103515625,0.35200729927007296
vlsat_full_validation,depth_front_behind,10,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.47802734375,0.5947265625,-0.11669921875,0.4215328467153285,0.8569343065693431,-0.4354014598540146,False,True,0.11669921875,0.4354014598540146
vlsat_full_validation,depth_front_behind,20,RH1_source_x_frame_score_minus_RH0_source_score,0.66259765625,0.86572265625,-0.203125,0.3989051094890511,0.6719890510948905,-0.2730839416058394,False,True,0.203125,0.2730839416058394
vlsat_full_validation,depth_front_behind,20,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.66259765625,0.7333984375,-0.07080078125,0.3989051094890511,0.7594890510948905,-0.3605839416058394,False,True,0.07080078125,0.3605839416058394
vlsat_full_validation,depth_front_behind,20,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.66259765625,0.79150390625,-0.12890625,0.3989051094890511,0.8328467153284671,-0.433941605839416,False,True,0.12890625,0.433941605839416
vlsat_full_validation,depth_front_behind,50,RH1_source_x_frame_score_minus_RH0_source_score,0.849609375,0.97705078125,-0.12744140625,0.3642201834862385,0.6012477064220183,-0.23702752293577978,False,True,0.12744140625,0.23702752293577978
