level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,100,0.017857142857142905,0.0,0.04414175506268074,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,100,0.0535714285714286,0.023619731357109732,0.09806757413709281,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,100,0.1116071428571429,0.051396349988961615,0.19024136828644495,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,100,0.0982142857142857,0.05507317333713143,0.14707087753134043,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,100,0.1964285714285714,0.11446730833056751,0.2974784540802586,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,100,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,100,-0.1004290876242096,-0.10870426761916156,-0.0925900304272862,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,100,-0.10363595302619694,-0.11242067743444077,-0.0954614024351637,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,100,-0.10214543812104787,-0.11062141314529728,-0.09433879387350119,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,100,-0.10365853658536583,-0.11274190254128102,-0.09537519716768889,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,100,-0.2077687443541102,-0.22522022150905227,-0.19120092888544146,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,100,0.00036133694670281713,0.0001339002712377732,0.0006697478663144018,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,5,-0.01020408163265306,-0.05,0.024999999999999998,1000,548
