audit_id,sufficient,subject_points,object_points,scale_m,center_dz_m,center_dz_norm,bbox_gap_m,bbox_gap_norm,xy_overlap_ratio,local_object_points,local_vertical_gap_m,local_vertical_gap_norm,subject_vertical_aspect
PV-0099,True,27,72,0.25,-0.080369,-0.321476,0.05687455000000008,0.22749820000000032,0.0,0,,,0.9265882046947134
PV-0100,True,363,1649,1.3152498833746695,-0.6285200000000001,-0.4778711695357408,1.0067931068496645,0.7654766744905034,0.0,0,,,1.319663297335851
PV-0101,True,1800,1248,1.5575047937797635,0.33981149999999993,0.21817685657027291,1.999547673154169,1.2838147793443722,0.0,0,,,1.9666162763044504
PV-0102,True,1800,523,1.3314324303818177,-0.58,-0.43562105501191084,0.45922517313514105,0.3449106110502717,0.0,0,,,1.3818595825668794
PV-0103,True,1352,1800,3.8302795152052598,0.5,0.13053877609065448,8.300000000005525e-05,2.1669436831063067e-05,0.0,110,0.019221500000000002,0.0050183021692530305,4.813180513969131
PV-0104,True,524,330,0.6741932251008314,0.33999999999999997,0.5043064619184657,0.5154454376243159,0.7645366616480411,0.0,0,,,0.34066472203887815
PV-0105,True,1800,184,2.272361897653348,-0.01999999999999999,-0.008801414959762284,0.6284589,0.2765663782027876,0.0,0,,,1.230493000866088
PV-0106,True,802,30,1.4856959741795743,1.94,1.305785324666643,1.8252748124884017,1.2285654967170174,0.0,0,,,0.20818699058083986
PV-0107,True,466,1384,1.4532555974991173,1.03705,0.713604683019726,1.73076621695751,1.1909578878870009,0.0,0,,,0.5323525407730779
PV-0108,True,1712,593,2.5633002229055206,1.7,0.6632075263010108,1.6643145472288292,0.6492858434437757,0.0,0,,,0.15277531296161223
PV-0109,True,1800,526,3.544352004134029,-0.44957999999999987,-0.12684406048711383,0.07999999999999985,0.02257112157784841,0.0,526,-1.0845954999999998,-0.3060067111660916,0.035699263095000995
PV-0110,True,954,69,0.5201503667674696,0.7800000000000001,1.4995663750991737,0.5934077163123365,1.1408387924440628,0.0,0,,,0.4516208035714286
PV-0111,True,1800,1800,4.061513041015504,0.76,0.18712238329043418,0.0,0.0,0.44937956220771424,144,-0.05699999999999994,-0.014034178746782549,1.7310971698113211
PV-0112,True,304,234,1.068205781715872,-0.34,-0.3182907318230892,0.0,0.0,0.8083759263968309,234,-0.65117005,-0.6095923286934635,0.2038630832795508
PV-0113,True,1800,1558,1.5783107889072765,-0.19999999999999996,-0.12671775508704938,1.0137968354981188,0.6423302955433817,0.0,0,,,0.3895052192982456
PV-0114,True,1800,915,1.9489542670021704,0.3418300000000001,0.17539149367819384,0.0,0.0,0.14710608290412225,156,-0.027283500000000016,-0.013999045776464918,0.7874733854357938
PV-0115,True,1623,222,1.2485691654021198,-0.049736999999999976,-0.03983519806368232,0.0,0.0,0.01310534638672032,52,-0.46537209999999996,-0.37272432548830414,0.7748073037411999
PV-0116,True,307,350,0.7157198013217746,0.06261250000000002,0.08748186075663789,0.34980900000000004,0.48875132328877996,0.0,0,,,0.6527382642901443
PV-0117,True,1134,1800,3.254043616916145,1.5657800000000002,0.481179782551252,0.15552949999999988,0.04779576376649649,0.6880723370481511,229,0.1479195000000002,0.04545713500305918,1.8819487387603344
PV-0118,True,134,1800,2.733645328244043,0.866309,0.3169061439863062,0.7732671,0.2828703094767265,0.148606203838424,22,0.7682661,0.2810408841491868,0.18950523174332537
PV-0119,True,573,426,0.842700295679714,-0.8227900000000001,-0.9763732185905376,1.0933610358710433,1.2974494508621819,0.0,0,,,0.2837663358159973
PV-0120,True,798,316,1.1644148626121194,-1.5089774999999999,-1.2959105456752131,1.0333660500000001,0.8874552216568768,0.3474948825421593,93,-2.184981,-1.8764626510335463,1.8718408620689662
PV-0121,True,980,1290,1.038382102927057,1.04,1.0015580941431699,0.26,0.25038952353579247,0.6273319274461174,869,0.33999999999999997,0.32743245385449776,0.7241379310344829
PV-0122,True,266,222,0.6545880183623,0.020000000000000018,0.030553568716454052,0.18,0.2749821184480862,0.0,0,,,0.8399999999999996
